prompt_id,date_iso,author_or_operator,purpose,input_summary,output_summary,human_review_status,linked_files,linked_commit,notes
PR-0011,2026-05-20,Daniel Ramirez Martinez + Codex,Phase 1 assembly validation overlay,"Requested switchable overlay of upper carousel, lower base, lower seating cylinder, and upper screw to inspect superposition and validation needs","Created assembly_validation_v0_1.scad with visibility toggles, alignment controls, hardware proxies, and validation requirements documentation",reviewed_pending_geometry_review,"docs/PHASE_1_ASSEMBLY_VALIDATION_V0_1_NOTE.md;openscad/assembly_validation_v0_1.scad",,Exploratory visual validation only; not print-ready integrated geometry
PR-0012,2026-05-20,Daniel Ramirez Martinez + Codex,Phase 1 assembly validation hardware update,"Provided lower cylinder diameter 4 mm, height 16.5 mm, conical shape, two 2 mm positioning tabs aligned with 1-4, screw height 14 mm, and detector clearance approx 5 mm","Created assembly_validation_v0_2_conical_tabs.scad and documentation note with updated hardware proxies and validation needs",reviewed_pending_geometry_review,"docs/PHASE_1_ASSEMBLY_VALIDATION_V0_2_NOTE.md;openscad/assembly_validation_v0_2_conical_tabs.scad",,Exploratory visual validation only; not print-ready integrated geometry
PR-0013,2026-05-20,Daniel Ramirez Martinez + Codex,Phase 1 integrated tester preliminary,"Requested fused upper/lower tester with 14.94 mm platform height, vial holders projecting upward, internal key aligned with 1-4, 3 mm raised labels, and preliminary review before print","Created integrated_carousel_tester_v0_1_preliminary.scad and documentation note for pre-print review",reviewed_pending_geometry_review,"docs/PHASE_1_INTEGRATED_CAROUSEL_TESTER_V0_1_NOTE.md;openscad/integrated_carousel_tester_v0_1_preliminary.scad",,Preliminary integrated tester only; pending review before print
PR-0014,2026-05-20,Daniel Ramirez Martinez + Codex,Phase 1 integrated tester visible lower rings,"Reported the fused tester looks integrated but lower circular lamina/rings no longer resemble the earlier base and requested the next version","Created integrated_carousel_tester_v0_2_visible_indexing_rings.scad with exposed lower annular ribs, lower structural floor, raised top cap, preserved 14.94 mm platform height, and preserved 1-4 internal key",reviewed_pending_geometry_review,"docs/PHASE_1_INTEGRATED_CAROUSEL_TESTER_V0_2_NOTE.md;openscad/integrated_carousel_tester_v0_2_visible_indexing_rings.scad",,Preliminary integrated tester only; pending review before print
PR-0015,2026-05-20,Daniel Ramirez Martinez + Codex,Phase 1 integrated tester open indexing base,"Clarified that the lower circular rings are the indexing system and the base must remain open between rings like indexing_base_v0_3_print_ready, not covered by a floor","Created integrated_carousel_tester_v0_3_open_indexing_base.scad with open_lower_indexing_base=true by default, optional comparison floor disabled, exposed lower ring spaces, preserved 14.94 mm platform height, internal 1-4 key, and raised labels",reviewed_pending_geometry_review,"docs/PHASE_1_INTEGRATED_CAROUSEL_TESTER_V0_3_NOTE.md;openscad/integrated_carousel_tester_v0_3_open_indexing_base.scad",,Preliminary integrated tester only; pending review before print
PR-0016,2026-05-20,Daniel Ramirez Martinez + Codex,Phase 1 integrated tester extended center coupling,"Reported v0.3 resembles desired final piece and requested central conical cylinder/coupling projection of 7.24 mm, total 18.91 mm, internal 2 mm key at the midpoint aligned to 1-4, screw clearance preserved, and rings resized/integrated to 108.10 mm without visible mismatch","Created integrated_carousel_tester_v0_4_extended_center_coupling.scad with 108.10 mm shared outer diameter, proportionally resized indexing rings, open lower indexing base, extended central coupling projection, conical receiver clearance, and midpoint internal key",reviewed_pending_geometry_review,"docs/PHASE_1_INTEGRATED_CAROUSEL_TESTER_V0_4_NOTE.md;openscad/integrated_carousel_tester_v0_4_extended_center_coupling.scad",,Preliminary integrated tester only; pending visual/mechanical review before print
PR-0017,2026-05-20,Daniel Ramirez Martinez + Codex,Phase 1 integrated tester refined radial indexing rings,"Provided post-integration caliper refinements: outside-to-inside span 13.51 mm including outer and second reading borders; outer border 2.87 mm; second border 1.20 mm; next span 11.15 mm including second and third borders; second border 1.24 mm; third border 1.57 mm; requested heights remain unchanged","Created integrated_carousel_tester_v0_5_refined_radial_rings.scad deriving ring positions from measured radial spans, preserving raw measurements, averaging second/index lamina width, keeping heights unchanged, and documenting derived diameters",reviewed_pending_geometry_review,"docs/PHASE_1_INTEGRATED_CAROUSEL_TESTER_V0_5_NOTE.md;openscad/integrated_carousel_tester_v0_5_refined_radial_rings.scad",,Preliminary integrated tester only; pending visual/mechanical review before print
PR-0018,2026-05-21,Daniel Ramirez Martinez + Codex,Phase 1 central coupling vertical-reference correction,"Clarified that the central cylinder/orifice is referenced to the upper vial-base plane: 7.24 mm should project upward from the level where vial holders begin, the remaining 11.67 mm should extend below that level, the internal conical screw passage needs a mid-wall notch aligned with positions 1-4, and the rest of the geometry should remain unchanged","Created integrated_carousel_tester_v0_6_center_top_projection.scad correcting the central coupling Z reference, preserving v0.5 ring refinements, placing the 2 mm internal wall key at the midpoint of the 18.91 mm central path, and documenting the corrected measurements",reviewed_pending_geometry_review,"docs/PHASE_1_INTEGRATED_CAROUSEL_TESTER_V0_6_NOTE.md;openscad/integrated_carousel_tester_v0_6_center_top_projection.scad",,Preliminary integrated tester only; pending visual/mechanical review before print
PR-0019,2026-05-21,Daniel Ramirez Martinez + Codex,Phase 1 central opening center-ring reference,"Clarified that the central opening should be configured from the height of the center/index ring while using the vial-base plane as the reference for the portion that projects above and below","Created integrated_carousel_tester_v0_7_center_ring_reference.scad adding explicit center-ring and vial-base reference planes, derived above/below measurements relative to both planes, optional visual audit planes, and documentation while preserving the v0.6 central geometry",reviewed_pending_geometry_review,"docs/PHASE_1_INTEGRATED_CAROUSEL_TESTER_V0_7_NOTE.md;openscad/integrated_carousel_tester_v0_7_center_ring_reference.scad",,Preliminary integrated tester only; pending visual/mechanical review before print
PR-0020,2026-05-21,Daniel Ramirez Martinez + Codex,Phase 1 integrated tester print-ready freeze,"Asked whether the latest version includes tolerances and is appropriate to prepare as a functional test print","Created integrated_carousel_tester_v0_8_print_ready.scad with review helpers disabled, explicit tolerance/clearance parameters documented, latest central/ring geometry preserved, and print-ready exploratory documentation",reviewed_pending_print_test,"docs/PHASE_1_INTEGRATED_CAROUSEL_TESTER_V0_8_PRINT_READY_NOTE.md;openscad/integrated_carousel_tester_v0_8_print_ready.scad",,Exploratory print-ready tester only; no final validation or compatibility claim
PR-0021,2026-05-21,Daniel Ramirez Martinez + Codex,Phase 1 v0.9 stepped ring and central boss correction,"While v0.8 was being printed, noticed that the base rings had different intended heights but appeared leveled/fused, and that the central cylinder should print from the center ring height rather than appearing to start after a vertical offset","Created integrated_carousel_tester_v0_9_stepped_ring_center_fix.scad replacing the full low top cap with local hub/pads/spokes to preserve stepped ring heights and making the visible central boss emerge from the center/index ring reference height",reviewed_pending_geometry_review,"docs/PHASE_1_INTEGRATED_CAROUSEL_TESTER_V0_9_NOTE.md;openscad/integrated_carousel_tester_v0_9_stepped_ring_center_fix.scad",,Exploratory correction after v0.8 print observation; not yet print-ready final
PR-0022,2026-05-21,Daniel Ramirez Martinez + Codex,Phase 1 v0.10 self-supported center correction,"Aborted v0.8 print because the central cylinder did not begin printing; requested audit of whether v0.9 solved the support/printability problem","Audited v0.9 and found it improved geometry but could still leave the central boss dependent on late-start/bridging; created integrated_carousel_tester_v0_10_self_supported_center.scad adding a central support collar from z=0 to z=14 so the visible central boss has continuous material during FDM printing",reviewed_pending_geometry_review,"docs/PHASE_1_INTEGRATED_CAROUSEL_TESTER_V0_10_NOTE.md;openscad/integrated_carousel_tester_v0_10_self_supported_center.scad",,Exploratory printability correction after aborted v0.8 print; pending slicer review
